498:0.19546351 129:0.2437858 125:0.2291005 124:0.23246971 514:0.20709088 836:0.22296637 434:0.19694668 835:0.28956285 833:0.20703596 668:0.28516823 387:0.19141683 390:0.20791486 341:0.19756925 316:0.23649809 311:0.28533304 306:0.29344475 235:0.21088123 233:0.1972946 22:0.21263906 15:0.2852781 496:0.32539716 683:0.19665372 324:0.2537652 20:0.5034516 878:0.30849624 117:0.24889451 107:0.2485466 935:0.2177661 106:0.33504695 953:0.29794922 641:0.68366677 547:0.6774777 178:0.5343969 173:0.5803571 65:0.7531014 997:0.69741815 93:0.6837583 747:0.51943696 741:0.51013505 732:0.51355916 620:0.5495583 557:0.54681164 644:0.59526205 64:0.59319293 372:0.5781598 368:0.58542913 293:0.29122913 535:0.5714214 499:0.7069398 70:0.22329596 54:0.27632415 901:0.58063173 73:0.37243766 72:0.7667613 560:0.20487526 746:0.22175786 909:0.5097139 791:0.75458455 425:0.326862 224:0.3022706 908:0.21868163 402:0.2485283 551:0.26085147 866:0.24993822 101:0.5459327 1:0.91487765 152:0.71737695 412:0.4987457 479:0.34839553 660:0.31199363 3:0.21884644 66:0.3403571 992:0.614525 176:0.32092932 578:0.2960266 357:0.24039826 549:0.29210806 522:0.32259557 361:0.5558755 302:0.28209203 659:0.19531703 581:0.23530787 52:0.22838637 955:0.20775005 344:0.1915816 258:0.19636074 109:0.20815289 69:0.28921494 822:0.36742046 348:0.24902269 464:0.40783247 239:0.3578256 261:0.20835435 246:0.20753035 323:0.59630585 808:0.25524837 810:0.23741361 684:0.21102771 680:0.22247198 349:0.41720763
993:0.42184028 171:0.45137563 959:0.28297094 951:0.2811765 912:0.3239689 842:0.45577022 806:0.4888396 984:0.33753723 622:0.5126986 498:0.3128359 367:0.3646006 53:0.50881666 251:0.35495082 809:0.243328 798:0.26233467 210:0.54490733 170:0.34438547 946:0.43972996 6:0.29747313 976:0.31084 826:0.3301763 515:0.43258873 451:0.23549098 448:0.2984619 81:0.33975285 794:0.3584482 635:0.5464637 356:0.24838182 979:0.272076 47:0.71842074 14:0.4358481 19:0.42590526 501:0.27317464 975:0.23499659 988:0.2622248 902:0.28595564 28:0.24863815 519:0.24869308 143:0.285095 921:0.36048067 952:0.38569468 337:0.35518885 99:0.43253377 145:0.32032502 987:0.29952392 937:0.32638592 621:0.41720763 647:0.24847338 338:0.50559396 427:0.43262532 262:0.2874754 105:0.29851684 868:0.23594874 445:0.3214237 837:0.23596704 75:0.2766354 108:0.42823073 112:0.24957201 360:0.425301 904:0.30243537 539:0.3645823 548:0.4382834 422:0.30664688 416:0.4561914 963:0.30913714 142:0.56158847 731:0.40493938 280:0.2778073 169:0.61382926 150:0.53840697 615:0.35978487 900:0.35703826 933:0.4319112 26:0.3314214 320:0.32080114 970:0.2323232 880:0.42839554 302:0.28873888 932:0.24850997 181:0.28634015 848:0.41685972 733:0.44179907 659:0.30190432 110:0.24420694 717:0.4229755 817:0.32805222 751:0.3544015 403:0.40517744 527:0.46937516 259:0.2796567 655:0.2708858 411:0.23635161 637:0.28308082 831:0.2852781 261:0.40781417 334:0.39408106 882:0.27224082 2:0.91487765 943:0.85708857 920:0.34033877
327:0.6300343 138:0.269073 911:0.26008242 965:0.32332802 802:0.288629 627:0.63058364 244:0.6304921 22:0.2891783 709:0.6300343 526:0.60339206 877:0.2565301 714:0.72332805 471:0.6834287 713:0.63629663 467:0.66171205 718:0.6412772 463:0.67288166 462:0.63495994 461:0.7482124 724:0.70388186 456:0.70877093 454:0.70820326 455:0.6933898 440:0.64666057 441:0.64118564 442:0.6316457 438:0.63684595 435:0.6658137 744:0.6606867 430:0.6844541 45:0.6485283 958:0.63532615 358:0.75280845 447:0.571165 70:0.66965896 619:0.64614785 973:0.67859465 956:0.70747083 355:0.630071 295:0.6216846 216:0.2487114 908:0.24937057 131:0.30498058 548:0.27075762 416:0.25122 821:0.6309865 486:0.6302541 139:0.6408926 116:0.6686153 479:0.27006182 884:0.62001836 546:0.6917968 396:0.5939986 815:0.4566308 827:0.45558712 785:0.68712753 194:0.5835065 981:0.63721216 660:0.5985214 160:0.614873 573:0.6204212 552:0.6803891 3:0.91487765 191:0.69067985 43:0.6844175 677:0.287805 645:0.2909911 617:0.26975054 166:0.29346305 658:0.2539666 604:0.24863815 603:0.28773177 605:0.25101855 602:0.24909592 873:0.35855806 29:0.52936137 903:0.60890365 578:0.75703824 357:0.29468986 211:0.67504233 720:0.36205542 764:0.2974182 520:0.355848 237:0.59070265 581:0.33810484 545:0.6839963 872:0.5449623 955:0.6523003 196:0.32222936 258:0.2707027 702:0.41577938 494:0.473605 264:0.26608837 822:0.3067018 665:0.33746397 223:0.7606821 371:0.24369425 941:0.24909592 247:0.25363702 349:0.35670865
993:0.33823302 959:0.30287483 918:0.24691692 373:0.28179908 864:0.5170566 783:0.37346306 8:0.27017167 982:0.28562605 971:0.26312202 622:0.24340126 618:0.30780044 474:0.37348136 401:0.28465554 809:0.4518151 797:0.8456077 798:0.84624857 725:0.38153812 380:0.5581094 193:0.3757519 170:0.32338297 336:0.28868395 6:0.4615015 976:0.22362557 298:0.33850768 451:0.33098194 448:0.43214926 639:0.31257957 794:0.54585946 898:0.39413598 816:0.2828977 47:0.3997208 781:0.37007558 712:0.84511334 513:0.25967956 476:0.33881897 501:0.42837724 628:0.25491875 974:0.51244223 975:0.2852964 985:0.668835 902:0.47164574 625:0.3124514 895:0.22278327 859:0.31259787 858:0.25988102 824:0.6969604 337:0.6363882 285:0.24058136 987:0.31759673 369:0.34372628 606:0.6023667 799:0.3018311 427:0.32647747 56:0.54228884 4:0.91487765 445:0.24944383 293:0.25436944 443:0.43487754 250:0.22155643 121:0.2952209 432:0.28198218 964:0.57757384 529:0.36139622 960:0.2598444 708:0.28831774 558:0.33167773 360:0.35958344 555:0.2666926 402:0.43755093 539:0.5267796 548:0.25944152 533:0.32644087 422:0.2718746 417:0.28775007 416:0.24832687 963:0.5839277 676:0.2873106 142:0.36518654 154:0.2550286 504:0.35588467 347:0.34381783 967:0.41621885 612:0.43114218 856:0.37668574 301:0.29782104 717:0.3632273 942:0.3914443 403:0.30397347 702:0.32770428 187:0.32995653 490:0.22413826 945:0.4425132 261:0.29311517 334:0.53432363 246:0.28634015 204:0.21837035 203:0.2538018 782:0.48319986 382:0.2889769 553:0.35506067
993:0.3688121 959:0.3077272 912:0.2708675 373:0.3396979 864:0.2597528 806:0.58740675 634:0.7804944 85:0.47096822 978:0.33863586 971:0.35570154 691:0.5780133 401:0.26610667 367:0.29128408 5:0.904184 113:0.5259007 53:0.2534539 809:0.2715084 797:0.34334174 798:0.4181781 689:0.6663447 436:0.7211856 883:0.7238224 954:0.39393458 6:0.2634333 857:0.298114 826:0.5307348 584:0.341236 448:0.3168643 48:0.42328683 635:0.28196386 583:0.40636763 481:0.28494853 754:0.38122684 771:0.26264593 497:0.52304417 18:0.28397804 47:0.35667205 14:0.2643122 385:0.4516686 975:0.36978257 902:0.32506752 625:0.29496455 722:0.42821243 667:0.54642713 824:0.30617076 337:0.29738158 135:0.66740674 729:0.64600134 937:0.28848252 369:0.4317281 647:0.35604948 11:0.6666927 931:0.6741085 606:0.28720075 188:0.31829253 469:0.6192858 427:0.25392997 868:0.3718883 155:0.5455116 62:0.59370565 457:0.36181736 673:0.26607004 432:0.33222705 796:0.5687114 693:0.47338524 905:0.3648936 24:0.30320442 108:0.33085376 853:0.53218126 360:0.49449763 340:0.29750976 539:0.30186772 548:0.27114215 417:0.3593271 142:0.43141684 595:0.27632415 208:0.36346537 950:0.36088353 314:0.36075535 26:0.4554406 483:0.35996798 750:0.34956744 307:0.27665374 175:0.43835667 347:0.2838865 322:0.4398581 733:0.34015566 740:0.27680022 88:0.492282 942:0.2737606 197:0.31355003 229:0.3305608 403:0.26028386 582:0.3297368 46:0.51178306 562:0.337995 411:0.40755782 637:0.35542688 650:0.5232456 41:0.34083316
993:0.2833555 864:0.36575422 783:0.44796982 8:0.27119708 585:0.41524836 474:0.32634932 400:0.692401 401:0.28452736 129:0.3058778 53:0.30311286 251:0.784651 809:0.52245826 797:0.34088808 798:0.32103917 743:0.6426138 689:0.41535822 725:0.28341043 170:0.3481758 336:0.35531703 6:0.88686204 897:0.7792859 835:0.25515682 762:0.25517514 298:0.5101167 387:0.26293892 333:0.25383842 311:0.26114443 268:0.25312433 265:0.26246282 356:0.41561458 898:0.451632 431:0.32065463 711:0.25114673 929:0.39884186 745:0.26319525 501:0.3366949 57:0.27890596 902:0.28703594 986:0.36103 625:0.526212 895:0.34438547 952:0.4501305 859:0.40523234 858:0.36126804 98:0.32365763 337:0.36461893 1000:0.321442 987:0.29718015 369:0.29360956 887:0.2543511 606:0.5920211 914:0.5788739 477:0.26330513 427:0.25555965 262:0.26271918 105:0.36815292 106:0.35786223 56:0.53730834 4:0.30320442 953:0.41861758 407:0.34376287 697:0.43903413 674:0.39984894 775:0.35138023 366:0.3673106 964:0.30254525 202:0.3613596 960:0.28471047 908:0.53637445 402:0.7594369 539:0.56261384 548:0.2600092 533:0.35667205 422:0.29271233 414:0.29100943 416:0.31362325 963:0.37306023 676:0.6779172 595:0.49938664 397:0.32102087 777:0.3031678 731:0.43127033 478:0.33614558 201:0.25455254 998:0.27132526 530:0.31862214 856:0.36465555 734:0.34385443 659:0.43835667 561:0.3581369 550:0.35539025 305:0.31268942 942:0.37051502 582:0.35379726 205:0.27092242 655:0.31100482 945:0.837203 246:0.28648663 735:0.35656217 671:0.30223396
700:0.50387275 132:0.48389563 130:0.50863355 129:0.51266193 127:0.51055616 125:0.4715725 124:0.46069583 90:0.5071321 743:0.28665143 579:0.7301579 575:0.68980086 465:0.6961181 836:0.7256169 540:0.76216525 459:0.75359577 434:0.75297326 424:0.7078187 362:0.7479561 328:0.7762646 168:0.77915776 999:0.69267565 994:0.6980774 980:0.7546395 977:0.73614556 969:0.68317235 957:0.75491416 840:0.7262394 835:0.7345159 833:0.78408337 762:0.49892887 760:0.6911376 704:0.7592355 601:0.7780407 597:0.7907118 509:0.7456855 492:0.7305791 387:0.76018775 390:0.6919799 345:0.70351565 341:0.70117193 333:0.7351385 316:0.6751156 311:0.6979126 308:0.66627145 306:0.7518746 294:0.726569 288:0.8058915 289:0.730103 290:0.6725338 7:0.91487765 287:0.76209205 286:0.7097963 283:0.7349004 278:0.73563284 277:0.6778256 276:0.7437812 275:0.76807964 273:0.6904784 271:0.683978 270:0.69212633 269:0.6686153 266:0.6841977 268:0.6878416 265:0.7194644 243:0.6838132 241:0.69013053 240:0.69071645 238:0.68434423 236:0.7533028 235:0.6985168 233:0.6944335 232:0.76743877 228:0.6972534 226:0.7039552 218:0.7318242 219:0.76425266 215:0.7847975 214:0.7086611 195:0.7218448 134:0.50826734 925:0.5049531 898:0.2889586 431:0.51339436 18:0.28489357 829:0.41794005 816:0.31373316 694:0.5043122 297:0.51302814 647:0.3018494 875:0.50508124 477:0.31120622 445:0.30205086 518:0.45589837 114:0.4874846 416:0.30653697 201:0.2982971 856:0.35112384 550:0.36110327 258:0.339057 735:0.33715272
993:0.74030215 959:0.63686424 918:0.6835935 373:0.64689857 864:0.7703502 842:0.41601744 8:0.8877043 984:0.59506065 982:0.6876219 971:0.516727 622:0.76271456 618:0.28872055 585:0.67881435 586:0.51180136 400:0.41601744 401:0.77807736 398:0.38120854 367:0.6393362 53:0.34363472 42:0.6297048 251:0.25521174 743:0.27101398 502:0.63759667 596:0.37296867 725:0.27286336 210:0.38785535 954:0.43233237 946:0.32530558 459:0.26033878 434:0.2568231 328:0.2873106 999:0.30661023 976:0.38146487 897:0.34321356 833:0.3219547 704:0.30250862 601:0.2814878 492:0.26610667 387:0.29906616 333:0.25638363 311:0.27192953 289:0.29932252 287:0.26962236 278:0.29406732 275:0.28287938 235:0.27330282 233:0.2587274 232:0.30175784 214:0.27233237 48:0.42905477 898:0.3366949 534:0.4161456 774:0.40726486 18:0.3390387 513:0.34779128 745:0.29965213 501:0.33012134 628:0.45589837 493:0.390602 99:0.34059513 1000:0.25561458 784:0.29956055 511:0.45421377 887:0.30192265 472:0.28635848 267:0.30346078 592:0.2926757 949:0.37056994 837:0.31944612 75:0.2671504 775:0.34112614 172:0.30717787 21:0.29987186 548:0.677496 422:0.7987137 417:0.7096132 414:0.37664914 416:0.51132524 595:0.34433055 777:0.2712703 731:0.33898377 280:0.36251318 201:0.32270545 998:0.2561456 176:0.4163287 530:0.25863585 347:0.284564 179:0.28610212 320:0.4428794 198:0.3169009 856:0.30479747 874:0.26132753 302:0.39569238 659:0.35903412 550:0.3875807 520:0.30238044 411:0.36683452 735:0.32644087 916:0.35044634 920:0.36280614
586:0.13646603 408:0.09815977 700:0.19771573 113:0.16622111 465:0.02790112 540:0.043355472 459:0.021126121 434:0.017482266 424:0.030318148 362:0.025282674 328:0.011586174 168:0.043593504 994:0.025246061 977:0.016456857 760:0.014131382 601:0.025868632 597:0.05155871 298:0.0032547489 451:0.1891829 387:0.35689175 306:0.3655711 269:0.022481121 266:0.0033279955 214:0.03802701 9:0.91487765 723:0.06512704 643:0.29024038 79:0.03872282 507:0.0026871115 727:0.09709773 28:0.027132072 664:0.0840055 625:0.0033279955 137:0.06012819 952:0.31365988 496:0.10621653 862:0.17464408 805:0.17548639 221:0.24759442 20:0.022169843 569:0.35449305 39:0.26477 989:0.0033463016 931:0.13214466 804:0.31644315 469:0.029201202 106:0.030702688 60:0.0034195557 65:0.15217671 293:0.4717922 457:0.01651179 260:0.7351202 742:0.26945758 147:0.0031815097 869:0.025667198 468:0.0030533373 708:0.0026871115 340:0.24345621 402:0.009517059 131:0.5028107 563:0.13216296 539:0.0028152913 523:0.121670865 963:0.043538578 299:0.023323417 595:0.23631495 208:0.09125658 1:0.0032730624 158:0.0033829212 913:0.04395973 832:0.013820097 483:0.08149692 926:0.056337826 140:0.09665828 776:0.002705425 576:0.1396521 181:0.044161133 740:0.35506067 751:0.013362326 872:0.09689633 786:0.0034012347 922:0.028834976 403:0.23311058 46:0.032661937 331:0.0027786642 205:0.003108263 688:0.088125445 556:0.002943471 248:0.0029800907 190:0.015211724 212:0.02390936 69:0.0029800907 40:0.0253193 599:0.05047836 789:0.03255207 470:0.0028152913 247:0.02720531 364:0.16708174 680:0.059432365 812:0.038631268
993:0.35487756 951:0.36330056 912:0.40473792 830:0.26227972 806:0.31572902 787:0.365095 770:0.2879149 736:0.27077594 662:0.34030217 634:0.31049213 8:0.28934312 629:0.28414285 978:0.41550472 691:0.40420696 401:0.29646602 351:0.43577483 113:0.3018311 251:0.2530877 798:0.40221104 638:0.3278325 436:0.3748913 170:0.4159808 613:0.31036395 473:0.6608881 378:0.29130238 826:0.42094305 584:0.440792 298:0.30199593 448:0.45082632 81:0.41858092 696:0.7295354 583:0.53864497 481:0.5826093 356:0.58400095 10:0.91487765 16:0.85157704 13:0.39164573 754:0.7644724 929:0.3826734 829:0.3606638 47:0.42356148 388:0.87285423 385:0.4214374 781:0.2909911 177:0.41096362 678:0.69492793 902:0.31074846 68:0.28465554 722:0.2889586 137:0.27008012 30:0.516672 61:0.3041932 824:0.2855711 699:0.51119703 567:0.4227192 729:0.28588238 937:0.29736328 11:0.2891051 188:0.53355455 105:0.2552667 868:0.38208747 4:0.25878236 592:0.27031818 953:0.31600368 293:0.2851133 837:0.27136186 457:0.36198217 75:0.349659 742:0.38618907 121:0.3554452 796:0.3603342 964:0.41881898 693:0.35143515 863:0.31340355 156:0.2550836 24:0.5922774 853:0.43550012 539:0.2811765 417:0.28657818 963:0.41792175 615:0.33828795 175:0.340174 488:0.30661023 850:0.665777 961:0.5263218 305:0.39831087 110:0.25488213 817:0.4350973 942:0.5216526 122:0.32918748 197:0.33944154 403:0.32653242 702:0.34077823 582:0.36452737 331:0.28972763 205:0.32556194 261:0.28330058 663:0.3508858 203:0.31988558 41:0.46058598
993:0.3678966 912:0.40660563 842:0.31829253 787:0.3277226 770:0.27048296 662:0.25438774 634:0.41858092 85:0.36412454 978:0.2888121 691:0.50370795 498:0.338526 5:0.64737463 113:0.4533532 53:0.28482035 689:0.29584348 436:0.4734768 883:0.58436716 613:0.23765165 826:0.45192495 584:0.42737016 81:0.2931701 696:0.3941726 583:0.42299387 481:0.41103688 356:0.35130697 10:0.40352944 16:0.2889769 13:0.24374917 754:0.506894 497:0.54737926 47:0.23367819 14:0.2494072 388:0.29073477 385:0.5575784 975:0.42887166 678:0.44500348 589:0.35127035 902:0.41858092 722:0.5449439 30:0.34332344 667:0.73083544 699:0.4516686 135:0.76983756 828:0.28923327 729:0.6371389 937:0.4271321 647:0.473843 11:0.88307166 931:0.6871458 188:0.54820323 469:0.739826 472:0.34390938 868:0.47922638 155:0.5983932 62:0.6470451 445:0.4719936 293:0.34000918 837:0.20936143 457:0.28657818 75:0.3261845 312:0.23475856 742:0.48058143 673:0.3248112 796:0.6731014 693:0.48188147 450:0.3730236 146:0.2537652 24:0.6276722 108:0.3275578 853:0.5041291 360:0.6057725 340:0.5109773 224:0.26986042 738:0.21051499 142:0.2715084 208:0.31860384 950:0.5794049 26:0.60963607 750:0.4702907 175:0.38309455 549:0.36157933 488:0.35114214 347:0.27403527 961:0.54739755 764:0.27654386 740:0.36698103 88:0.5821699 817:0.30311286 197:0.44225684 403:0.22358894 582:0.26314032 46:0.21135733 343:0.2849119 823:0.23953769 133:0.3495491 637:0.38659194 650:0.57794005 730:0.2698421 782:0.32340127 41:0.417995
951:0.20802471 132:0.30653697 125:0.31715727 124:0.26748 90:0.2852232 798:0.3319341 575:0.1974594 725:0.2845457 857:0.39862216 762:0.30646372 668:0.37399405 495:0.35533533 298:0.36976427 306:0.17555964 294:0.22598764 288:0.20414284 289:0.1498329 271:0.19388878 233:0.21862671 232:0.18368965 228:0.16052645 690:0.237908 134:0.43921724 925:0.33250177 79:0.42634472 18:0.1972763 727:0.25046924 67:0.42786452 694:0.22333258 297:0.340174 55:0.24957201 519:0.28595564 625:0.29910278 972:0.29749146 374:0.50352484 337:0.34477 145:0.72338295 862:0.4164935 682:0.33034107 569:0.46291146 989:0.2499016 420:0.1891829 889:0.4161639 647:0.17502862 107:0.595024 104:0.18903643 875:0.25980777 885:0.17440605 58:0.4514672 60:0.20401469 953:0.33103687 475:0.30190432 245:0.54243535 673:0.42791948 528:0.24001375 366:0.35978487 433:0.28789657 960:0.36165258 708:0.59249717 114:0.2664912 425:0.33810484 555:0.42852375 216:0.22256353 738:0.3579721 539:0.3111513 548:0.4175006 820:0.254461 12:0.91487765 89:0.34065005 37:0.17114672 158:0.41642025 913:0.5370153 834:0.22999772 632:0.24973679 734:0.43211266 376:0.6177294 717:0.29104602 315:0.20690778 936:0.36178076 768:0.33420464 715:0.5465553 258:0.45150378 672:0.32594648 109:0.21849853 739:0.41374686 657:0.47918978 94:0.18447703 205:0.48720995 556:0.24949875 212:0.16731977 562:0.35683683 222:0.4516503 653:0.35874116 40:0.34909135 599:0.38682997 707:0.3538888 470:0.2882994 247:0.16184482 204:0.20976427 553:0.28308082
